slot; time; display; program.state; capacity; hours; minutes; charger.voltage; charger.amperage; battery.fill; battery.voltage; charged.capacity; discharged.capacity; battery.resistor; charger.volume.pre3; charger.volume.pre2; charger.volume.pre1; charger.volume.pre0
1;1420805273;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1264;0;2699;1116;0;0;1269;1266
2;1420805273;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2444;1201;0;0;1269;1266
3;1420805273;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;1895;1038;0;0;1277;1275
4;1420805273;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1272;0;1679;1182;0;0;1278;1275
1;1420805274;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1264;0;2699;1113;0;0;1269;1266
2;1420805274;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2444;1200;0;0;1269;1266
3;1420805274;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;1895;1038;0;0;1277;1275
4;1420805274;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1272;0;1679;1184;0;0;1278;1275
1;1420805275;'CHK';'Discharge';'1500-2200 mAh';0;2;0;692;0;1264;0;2699;1114;0;0;1269;1266
2;1420805275;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2444;1200;0;0;1269;1266
3;1420805275;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;1895;1038;0;0;1277;1275
4;1420805275;'CHK';'Discharge';'1500-2200 mAh';0;1;0;728;0;1272;0;1679;1184;0;0;1278;1275
1;1420805276;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1264;0;2871;1113;0;0;1269;1266
2;1420805276;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2630;1200;0;0;1269;1266
3;1420805276;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;2055;1038;0;0;1277;1275
4;1420805276;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1272;0;1863;1184;0;0;1278;1275
1;1420805277;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1264;0;2871;1111;0;0;1269;1266
2;1420805277;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2630;1199;0;0;1269;1266
3;1420805277;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;2055;1038;0;0;1277;1275
4;1420805277;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1272;0;1863;1184;0;0;1278;1275
1;1420805278;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1264;0;2871;1111;0;0;1269;1266
2;1420805278;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2630;1199;0;0;1269;1266
3;1420805278;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;2055;1038;0;0;1277;1275
4;1420805278;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1272;0;1863;1184;0;0;1278;1275
1;1420805279;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1264;0;2871;1111;0;0;1269;1266
2;1420805279;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1264;0;2630;1199;0;0;1269;1266
3;1420805279;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1272;0;2055;1038;0;0;1277;1275
4;1420805279;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1272;0;1863;1184;0;0;1278;1275
1;1420805280;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;2871;1262;0;1269;1266;1264
2;1420805280;'CHK';'Discharge';'1500-2200 mAh';0;1;0;744;0;1262;0;2630;1262;0;1269;1266;1264
3;1420805280;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1270;0;2055;1270;0;1277;1275;1272
4;1420805280;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1270;0;1863;1270;0;1278;1275;1272
1;1420805281;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;2871;1264;0;1269;1266;1264
2;1420805281;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2630;1264;0;1269;1266;1264
3;1420805281;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1270;0;2055;1272;0;1277;1275;1272
4;1420805281;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1270;0;1863;1272;0;1278;1275;1272
1;1420805282;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;2871;1109;0;1269;1266;1264
2;1420805282;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2630;1200;0;1269;1266;1264
3;1420805282;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1270;0;2055;1049;0;1277;1275;1272
4;1420805282;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1270;0;1863;1177;0;1278;1275;1272
1;1420805283;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;2871;1109;0;1269;1266;1264
2;1420805283;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2630;1199;0;1269;1266;1264
3;1420805283;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1270;0;2055;1049;0;1277;1275;1272
4;1420805283;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1270;0;1863;1178;0;1278;1275;1272
1;1420805284;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;2871;1108;0;1269;1266;1264
2;1420805284;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2630;1199;0;1269;1266;1264
3;1420805284;'CHK';'Discharge';'1500-2200 mAh';0;1;0;640;0;1270;0;2055;1049;0;1277;1275;1272
4;1420805284;'CHK';'Discharge';'1500-2200 mAh';0;1;0;736;0;1270;0;1863;1179;0;1278;1275;1272
1;1420805285;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;3043;1111;0;1269;1266;1264
2;1420805285;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2816;1198;0;1269;1266;1264
3;1420805285;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1270;0;2217;1049;0;1277;1275;1272
4;1420805285;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1270;0;2046;1179;0;1278;1275;1272
1;1420805286;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;3043;1109;0;1269;1266;1264
2;1420805286;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2816;1198;0;1269;1266;1264
3;1420805286;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1270;0;2217;1049;0;1277;1275;1272
4;1420805286;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1270;0;2046;1181;0;1278;1275;1272
1;1420805287;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;3043;1108;0;1269;1266;1264
2;1420805287;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2816;1198;0;1269;1266;1264
3;1420805287;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1270;0;2217;1049;0;1277;1275;1272
4;1420805287;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1270;0;2046;1182;0;1278;1275;1272
1;1420805288;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1262;0;3043;1108;0;1269;1266;1264
2;1420805288;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1262;0;2816;1198;0;1269;1266;1264
3;1420805288;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1270;0;2217;1049;0;1277;1275;1272
4;1420805288;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1270;0;2046;1183;0;1278;1275;1272
1;1420805289;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1260;0;3043;1260;1269;1266;1264;1262
2;1420805289;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;2816;1261;1269;1266;1264;1262
3;1420805289;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2217;1268;1277;1275;1272;1270
4;1420805289;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1268;0;2046;1268;1278;1275;1272;1270
1;1420805290;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1260;0;3043;1262;1269;1266;1264;1262
2;1420805290;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;2816;1262;1269;1266;1264;1262
3;1420805290;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2217;1270;1277;1275;1272;1270
4;1420805290;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1268;0;2046;1270;1278;1275;1272;1270
1;1420805291;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1260;0;3043;1108;1269;1266;1264;1262
2;1420805291;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;2816;1198;1269;1266;1264;1262
3;1420805291;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2217;1050;1277;1275;1272;1270
4;1420805291;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1268;0;2046;1189;1278;1275;1272;1270
1;1420805292;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1260;0;3043;1107;1269;1266;1264;1262
2;1420805292;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;2816;1198;1269;1266;1264;1262
3;1420805292;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2217;1049;1277;1275;1272;1270
4;1420805292;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1268;0;2046;1190;1278;1275;1272;1270
1;1420805293;'CHK';'Discharge';'1500-2200 mAh';0;2;0;688;0;1260;0;3043;1107;1269;1266;1264;1262
2;1420805293;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;2816;1197;1269;1266;1264;1262
3;1420805293;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2217;1049;1277;1275;1272;1270
4;1420805293;'CHK';'Discharge';'1500-2200 mAh';0;1;0;732;0;1268;0;2046;1191;1278;1275;1272;1270
1;1420805294;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1260;0;3214;1107;1269;1266;1264;1262
2;1420805294;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;3002;1197;1269;1266;1264;1262
3;1420805294;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2379;1049;1277;1275;1272;1270
4;1420805294;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1268;0;2231;1192;1278;1275;1272;1270
1;1420805295;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1260;0;3214;1106;1269;1266;1264;1262
2;1420805295;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;3002;1197;1269;1266;1264;1262
3;1420805295;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2379;1049;1277;1275;1272;1270
4;1420805295;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1268;0;2231;1192;1278;1275;1272;1270
1;1420805296;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1260;0;3214;1106;1269;1266;1264;1262
2;1420805296;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;3002;1196;1269;1266;1264;1262
3;1420805296;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2379;1049;1277;1275;1272;1270
4;1420805296;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1268;0;2231;1192;1278;1275;1272;1270
1;1420805297;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1260;0;3214;1104;1269;1266;1264;1262
2;1420805297;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1261;0;3002;1196;1269;1266;1264;1262
3;1420805297;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1268;0;2379;1049;1277;1275;1272;1270
4;1420805297;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1268;0;2231;1192;1278;1275;1272;1270
1;1420805298;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3214;1259;1266;1264;1262;1260
2;1420805298;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1259;0;3002;1259;1266;1264;1262;1261
3;1420805298;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2379;1267;1275;1272;1270;1268
4;1420805298;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2231;1266;1275;1272;1270;1268
1;1420805299;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3214;1261;1266;1264;1262;1260
2;1420805299;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1259;0;3002;1261;1266;1264;1262;1261
3;1420805299;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2379;1269;1275;1272;1270;1268
4;1420805299;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2231;1268;1275;1272;1270;1268
1;1420805300;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3214;1103;1266;1264;1262;1260
2;1420805300;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1259;0;3002;1196;1266;1264;1262;1261
3;1420805300;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2379;1050;1275;1272;1270;1268
4;1420805300;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2231;1194;1275;1272;1270;1268
1;1420805301;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3214;1104;1266;1264;1262;1260
2;1420805301;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1259;0;3002;1196;1266;1264;1262;1261
3;1420805301;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2379;1050;1275;1272;1270;1268
4;1420805301;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2231;1193;1275;1272;1270;1268
1;1420805302;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3214;1105;1266;1264;1262;1260
2;1420805302;'CHK';'Discharge';'1500-2200 mAh';0;2;0;744;0;1259;0;3002;1195;1266;1264;1262;1261
3;1420805302;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2379;1050;1275;1272;1270;1268
4;1420805302;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2231;1193;1275;1272;1270;1268
1;1420805303;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3385;1105;1266;1264;1262;1260
2;1420805303;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1259;0;3187;1195;1266;1264;1262;1261
3;1420805303;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2541;1050;1275;1272;1270;1268
4;1420805303;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2416;1192;1275;1272;1270;1268
1;1420805304;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3385;1104;1266;1264;1262;1260
2;1420805304;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1259;0;3187;1195;1266;1264;1262;1261
3;1420805304;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2541;1051;1275;1272;1270;1268
4;1420805304;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2416;1192;1275;1272;1270;1268
1;1420805305;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3385;1102;1266;1264;1262;1260
2;1420805305;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1259;0;3187;1194;1266;1264;1262;1261
3;1420805305;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2541;1051;1275;1272;1270;1268
4;1420805305;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2416;1191;1275;1272;1270;1268
1;1420805306;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1259;0;3385;1100;1266;1264;1262;1260
2;1420805306;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1259;0;3187;1194;1266;1264;1262;1261
3;1420805306;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1267;0;2541;1051;1275;1272;1270;1268
4;1420805306;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1266;0;2416;1191;1275;1272;1270;1268
1;1420805307;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3385;1258;1264;1262;1260;1259
2;1420805307;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3187;1257;1264;1262;1261;1259
3;1420805307;'CHK';'Discharge';'1500-2200 mAh';0;1;0;648;0;1266;0;2541;1266;1272;1270;1268;1267
4;1420805307;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2416;1264;1272;1270;1268;1266
1;1420805308;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3385;1260;1264;1262;1260;1259
2;1420805308;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3187;1258;1264;1262;1261;1259
3;1420805308;'CHK';'Discharge';'1500-2200 mAh';0;2;0;648;0;1266;0;2541;1267;1272;1270;1268;1267
4;1420805308;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2416;1266;1272;1270;1268;1266
1;1420805309;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3385;1103;1264;1262;1260;1259
2;1420805309;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3187;1195;1264;1262;1261;1259
3;1420805309;'CHK';'Discharge';'1500-2200 mAh';0;2;0;648;0;1266;0;2541;1052;1272;1270;1268;1267
4;1420805309;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2416;1190;1272;1270;1268;1266
1;1420805310;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3385;1103;1264;1262;1260;1259
2;1420805310;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3187;1194;1264;1262;1261;1259
3;1420805310;'CHK';'Discharge';'1500-2200 mAh';0;2;0;648;0;1266;0;2541;1052;1272;1270;1268;1267
4;1420805310;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2416;1189;1272;1270;1268;1266
1;1420805311;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3385;1104;1264;1262;1260;1259
2;1420805311;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3187;1194;1264;1262;1261;1259
3;1420805311;'CHK';'Discharge';'1500-2200 mAh';0;2;0;648;0;1266;0;2541;1052;1272;1270;1268;1267
4;1420805311;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2416;1190;1272;1270;1268;1266
1;1420805312;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3556;1104;1264;1262;1260;1259
2;1420805312;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3372;1193;1264;1262;1261;1259
3;1420805312;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1266;0;2704;1052;1272;1270;1268;1267
4;1420805312;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2601;1189;1272;1270;1268;1266
1;1420805313;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3556;1103;1264;1262;1260;1259
2;1420805313;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3372;1193;1264;1262;1261;1259
3;1420805313;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1266;0;2704;1052;1272;1270;1268;1267
4;1420805313;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2601;1190;1272;1270;1268;1266
1;1420805314;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3556;1106;1264;1262;1260;1259
2;1420805314;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3372;1193;1264;1262;1261;1259
3;1420805314;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1266;0;2704;1052;1272;1270;1268;1267
4;1420805314;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2601;1190;1272;1270;1268;1266
1;1420805315;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1258;0;3556;1106;1264;1262;1260;1259
2;1420805315;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1257;0;3372;1193;1264;1262;1261;1259
3;1420805315;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1266;0;2704;1052;1272;1270;1268;1267
4;1420805315;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1264;0;2601;1190;1272;1270;1268;1266
1;1420805316;'CHK';'Discharge';'1500-2200 mAh';0;2;0;684;0;1257;0;3556;1257;1262;1260;1259;1258
2;1420805316;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3372;1256;1262;1261;1259;1257
3;1420805316;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2704;1264;1270;1268;1267;1266
4;1420805316;'CHK';'Discharge';'1500-2200 mAh';0;1;0;740;0;1263;0;2601;1263;1270;1268;1266;1264
1;1420805317;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3556;1258;1262;1260;1259;1258
2;1420805317;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3372;1257;1262;1261;1259;1257
3;1420805317;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2704;1266;1270;1268;1267;1266
4;1420805317;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2601;1264;1270;1268;1266;1264
1;1420805318;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3556;1108;1262;1260;1259;1258
2;1420805318;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3372;1193;1262;1261;1259;1257
3;1420805318;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2704;1054;1270;1268;1267;1266
4;1420805318;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2601;1190;1270;1268;1266;1264
1;1420805319;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3556;1107;1262;1260;1259;1258
2;1420805319;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3372;1193;1262;1261;1259;1257
3;1420805319;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2704;1054;1270;1268;1267;1266
4;1420805319;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2601;1190;1270;1268;1266;1264
1;1420805320;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3556;1107;1262;1260;1259;1258
2;1420805320;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3372;1192;1262;1261;1259;1257
3;1420805320;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2704;1054;1270;1268;1267;1266
4;1420805320;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2601;1190;1270;1268;1266;1264
1;1420805321;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3727;1107;1262;1260;1259;1258
2;1420805321;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3557;1192;1262;1261;1259;1257
3;1420805321;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2867;1055;1270;1268;1267;1266
4;1420805321;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2786;1190;1270;1268;1266;1264
1;1420805322;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3727;1106;1262;1260;1259;1258
2;1420805322;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3557;1192;1262;1261;1259;1257
3;1420805322;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2867;1055;1270;1268;1267;1266
4;1420805322;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2786;1190;1270;1268;1266;1264
1;1420805323;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3727;1105;1262;1260;1259;1258
2;1420805323;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1256;0;3557;1192;1262;1261;1259;1257
3;1420805323;'CHK';'Discharge';'1500-2200 mAh';0;2;0;652;0;1264;0;2867;1055;1270;1268;1267;1266
4;1420805323;'CHK';'Discharge';'1500-2200 mAh';0;2;0;740;0;1263;0;2786;1190;1270;1268;1266;1264
1;1420805324;'CHK';'Discharge';'1500-2200 mAh';0;3;0;684;0;1257;0;3727;1104;1262;1260;1259;1258
